# Class red_S1 blue_S1 green_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 NDVI_S1 LAI_S1 rain_S1 red_S2 blue_S2 green_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 NDVI_S2 LAI_S2 rain_S2 red_S3 blue_S3 green_S3 nir_S3 swir_1_S3 swir_2_S3 red_edge_1_S3 red_edge_2_S3 red_edge_3_S3 NDVI_S3 LAI_S3 rain_S3 slope
1.000000 0.043007 0.029162 0.063807 0.351970 0.207396 0.106432 0.124125 0.297557 0.346361 0.777972 1.881836 384.729889 0.038600 0.034163 0.069188 0.376003 0.189929 0.091639 0.122061 0.312108 0.369030 0.814722 2.145631 716.453613 0.043666 0.039989 0.075058 0.395001 0.206119 0.103772 0.130406 0.324569 0.388233 0.800916 2.208340 967.140564 1.863390
1.000000 0.031637 0.026712 0.064130 0.413870 0.192288 0.087255 0.118428 0.333129 0.402674 0.857975 2.345601 361.944550 0.031666 0.030494 0.065699 0.401035 0.187518 0.089589 0.115041 0.312363 0.384334 0.853637 2.334392 799.635071 0.036256 0.032778 0.068666 0.375220 0.198274 0.099689 0.121479 0.301221 0.356589 0.823778 2.158265 1011.222412 6.373775
1.000000 0.040622 0.029502 0.063653 0.356226 0.210910 0.111146 0.117565 0.284660 0.336197 0.795237 1.952635 362.046143 0.033895 0.030637 0.065441 0.358499 0.185754 0.087142 0.114052 0.307007 0.367307 0.826664 2.085237 799.013794 0.038533 0.034652 0.074474 0.387276 0.197466 0.094626 0.128110 0.324230 0.379256 0.818494 2.203244 1011.763428 12.090515
1.000000 0.088501 0.055547 0.080141 0.195760 0.272228 0.194524 0.122294 0.164910 0.183493 0.349207 0.585372 290.402100 0.058309 0.045796 0.078083 0.308287 0.216696 0.122836 0.119945 0.260609 0.299420 0.681891 1.626929 519.824768 0.093396 0.060984 0.092972 0.260656 0.288495 0.191852 0.145486 0.225882 0.250910 0.472418 0.991427 806.391785 1.317616
1.000000 0.035664 0.029911 0.069827 0.407782 0.198141 0.089228 0.133609 0.343025 0.404717 0.839148 2.290547 362.300385 0.032137 0.030702 0.075717 0.409265 0.184687 0.078916 0.136017 0.352582 0.412845 0.854386 2.368552 794.950562 0.037217 0.034595 0.070084 0.361776 0.200051 0.097364 0.128649 0.307869 0.361737 0.813445 2.096527 1009.299438 8.811974
1.000000 0.097603 0.040950 0.067139 0.236634 0.245666 0.169230 0.138686 0.199133 0.228895 0.423035 0.741780 206.077148 0.094216 0.046191 0.066648 0.180296 0.234990 0.201327 0.120079 0.157915 0.178686 0.336471 0.465133 720.300781 0.041766 0.028771 0.055592 0.333857 0.145924 0.076876 0.083265 0.259180 0.328544 0.782544 1.849076 596.816467 11.895029
1.000000 0.100330 0.051403 0.076919 0.209213 0.200661 0.146920 0.133263 0.194247 0.215184 0.352068 0.573330 336.972229 0.072485 0.061841 0.083813 0.252879 0.179350 0.115179 0.123383 0.246242 0.278805 0.554711 1.215228 330.207153 0.092345 0.082065 0.100539 0.239609 0.178558 0.118540 0.136802 0.231265 0.256137 0.443770 1.012906 1038.907227 8.700255
1.000000 0.040940 0.029466 0.077096 0.472451 0.202079 0.089927 0.144333 0.374112 0.447507 0.840435 2.488951 367.332458 0.053160 0.056464 0.096779 0.455181 0.209006 0.096819 0.148441 0.374320 0.449328 0.789845 2.551485 370.693604 0.039502 0.039360 0.088827 0.472480 0.202925 0.091452 0.141931 0.386716 0.460100 0.845374 2.655360 1153.574707 26.036812
1.000000 0.133225 0.052297 0.084374 0.212282 0.321397 0.279808 0.159034 0.187119 0.204532 0.241106 0.347992 203.778854 0.107169 0.061602 0.086630 0.220092 0.241983 0.197303 0.145058 0.201251 0.224299 0.341321 0.592713 716.446106 0.055683 0.041498 0.074233 0.347890 0.160701 0.093360 0.124706 0.284941 0.337518 0.721975 1.778796 594.443665 8.994597
1.000000 0.093770 0.039458 0.064044 0.224715 0.222130 0.170022 0.131799 0.187488 0.204232 0.411151 0.676153 272.864685 0.101460 0.068976 0.090098 0.233993 0.202619 0.149051 0.135056 0.207433 0.229847 0.395087 0.786430 193.184723 0.063936 0.033774 0.055637 0.207451 0.167416 0.110890 0.105340 0.183253 0.201035 0.528820 0.852346 1185.444580 7.861651
1.000000 0.110467 0.054505 0.079740 0.197439 0.260766 0.201763 0.138429 0.174219 0.192663 0.275705 0.404594 273.063477 0.098158 0.068429 0.086439 0.190728 0.191825 0.138294 0.121667 0.169520 0.188322 0.323821 0.530960 196.730530 0.072641 0.051123 0.084771 0.239820 0.193773 0.122459 0.127695 0.237308 0.256477 0.535068 1.041232 1183.670166 7.861651
1.000000 0.079326 0.045100 0.074705 0.223104 0.239154 0.151338 0.116722 0.183870 0.208837 0.475873 0.837710 337.209778 0.065330 0.038338 0.072139 0.245720 0.223944 0.134961 0.118500 0.205560 0.232453 0.578622 1.091241 879.771240 0.082902 0.054505 0.094705 0.310685 0.268315 0.169208 0.154475 0.265996 0.296365 0.578593 1.354623 905.602905 7.399734
1.000000 0.100754 0.054115 0.091893 0.245775 0.274458 0.193097 0.143056 0.212648 0.238070 0.423982 0.803587 333.342468 0.051926 0.039456 0.068934 0.283508 0.181899 0.093955 0.100315 0.239696 0.290660 0.690397 1.494339 878.180237 0.059861 0.043566 0.076483 0.292629 0.197712 0.102242 0.110942 0.247560 0.296053 0.629358 1.482890 898.219604 1.666667
1.000000 0.033445 0.026524 0.075957 0.497926 0.189397 0.078665 0.144363 0.405667 0.486484 0.874117 2.691590 367.431671 0.093369 0.083009 0.105333 0.316194 0.228518 0.141719 0.153390 0.278409 0.328015 0.544056 1.491429 372.615143 0.045219 0.039828 0.069942 0.389057 0.202745 0.105006 0.118792 0.314198 0.379613 0.792054 2.167220 1153.694946 18.828539
1.000000 0.116446 0.051837 0.075799 0.193146 0.230437 0.183232 0.148235 0.183204 0.202073 0.247744 0.343561 274.622864 0.090142 0.048364 0.069823 0.194405 0.204355 0.156738 0.122118 0.174685 0.192794 0.366418 0.569096 78.826851 0.106506 0.048167 0.067564 0.165768 0.209132 0.180777 0.131439 0.158311 0.170996 0.217657 0.253326 1426.565186 20.318642
1.000000 0.072897 0.038219 0.057578 0.176629 0.207388 0.146100 0.110968 0.155639 0.174648 0.412278 0.580902 274.133881 0.089747 0.059675 0.076814 0.204905 0.231821 0.162212 0.124829 0.177701 0.199673 0.393854 0.686266 78.342575 0.102359 0.045171 0.066327 0.164436 0.208660 0.175148 0.125956 0.155378 0.168616 0.225934 0.266587 1424.936890 15.363062
1.000000 0.051448 0.035128 0.058859 0.282739 0.168869 0.095699 0.102480 0.233075 0.273626 0.692097 1.457352 267.759064 0.042629 0.033837 0.057103 0.293393 0.165030 0.089965 0.097490 0.244210 0.284902 0.746334 1.632880 179.125168 0.054353 0.051194 0.073396 0.329410 0.180540 0.101513 0.119662 0.282815 0.329950 0.716775 1.838488 1193.979126 5.994352
1.000000 0.133361 0.058078 0.094289 0.249965 0.305381 0.241363 0.181307 0.240632 0.259735 0.304185 0.535286 466.930969 0.141393 0.063009 0.096939 0.262981 0.332751 0.259845 0.193599 0.240849 0.260352 0.300664 0.553113 47.324860 0.188704 0.085885 0.122520 0.256164 0.385142 0.325033 0.228953 0.248234 0.263211 0.151628 0.231813 610.851196 1.666667
1.000000 0.082708 0.047927 0.079744 0.259322 0.274049 0.199655 0.130802 0.225011 0.256715 0.515337 1.026781 480.075073 0.141942 0.068609 0.101112 0.248488 0.355449 0.275496 0.185664 0.223960 0.247874 0.273330 0.489473 64.790649 0.186847 0.092872 0.129640 0.269071 0.429187 0.371656 0.223190 0.244704 0.267228 0.181011 0.321322 657.464722 2.393293
1.000000 0.105258 0.049501 0.082683 0.265071 0.289711 0.223183 0.156455 0.249248 0.280097 0.426138 0.816170 479.705658 0.161741 0.063720 0.099080 0.238204 0.386899 0.337205 0.200484 0.223262 0.241118 0.191829 0.279197 64.608040 0.204837 0.080858 0.119858 0.268303 0.438277 0.404120 0.240584 0.258283 0.276900 0.135229 0.187764 656.125305 5.335937
1.000000 0.104037 0.058546 0.097709 0.314494 0.286361 0.199881 0.169936 0.291583 0.324991 0.494384 1.098898 467.575958 0.176748 0.080699 0.118496 0.262657 0.372749 0.293513 0.219230 0.244386 0.264000 0.202160 0.354373 47.420296 0.217681 0.101026 0.145399 0.293723 0.419074 0.355922 0.257564 0.280035 0.299412 0.162632 0.286621 610.616333 0.953436
1.000000 0.090860 0.051377 0.082544 0.266271 0.282499 0.207788 0.137383 0.237072 0.268182 0.491169 0.991070 480.217041 0.133113 0.060244 0.094324 0.227601 0.349605 0.300278 0.162190 0.204760 0.225472 0.264414 0.427021 64.970116 0.176773 0.080011 0.116770 0.245878 0.414091 0.380735 0.205983 0.224621 0.242718 0.169409 0.266836 658.138611 3.726780
1.000000 0.139356 0.067193 0.109784 0.310172 0.341020 0.257092 0.203107 0.300194 0.328092 0.400503 0.911655 468.093353 0.195518 0.086295 0.126418 0.279717 0.395904 0.322199 0.237223 0.264933 0.284235 0.177557 0.308169 47.168968 0.205090 0.091916 0.132594 0.289954 0.412882 0.359762 0.247906 0.272494 0.291286 0.154677 0.258918 609.297302 2.357023
1.000000 0.080987 0.053703 0.079530 0.207607 0.211130 0.142553 0.116125 0.179179 0.203180 0.441781 0.777378 304.188721 0.049072 0.042945 0.068985 0.243294 0.171786 0.098700 0.091170 0.207448 0.247412 0.663231 1.323017 553.776367 0.054378 0.046484 0.072209 0.224465 0.190630 0.121165 0.095137 0.197221 0.225404 0.611137 1.161886 765.479675 2.635231
1.000000 0.148890 0.080309 0.113446 0.250960 0.313336 0.246364 0.182598 0.225884 0.246757 0.255084 0.480535 189.272766 0.142193 0.094678 0.120369 0.258180 0.303260 0.234682 0.178721 0.233240 0.258468 0.290323 0.632486 27.532759 0.119458 0.073985 0.098059 0.213627 0.275946 0.221012 0.146284 0.185885 0.206746 0.283370 0.507168 906.336548 1.993991
1.000000 0.074843 0.051360 0.076701 0.209031 0.241705 0.169921 0.114034 0.182640 0.205537 0.472649 0.834804 303.912048 0.058190 0.043563 0.071661 0.240088 0.204725 0.119166 0.107925 0.208182 0.240067 0.613639 1.186407 553.130371 0.076221 0.054719 0.082153 0.229192 0.225893 0.147845 0.121913 0.201050 0.227186 0.500648 0.966813 764.463257 3.088933
1.000000 0.144536 0.080559 0.110783 0.254966 0.287049 0.216456 0.176969 0.231009 0.258935 0.276427 0.535119 188.239380 0.175148 0.114227 0.139859 0.268075 0.318351 0.244322 0.208632 0.250490 0.278210 0.215423 0.474930 27.405510 0.177281 0.102471 0.140058 0.265883 0.339559 0.282573 0.215308 0.254904 0.272219 0.213289 0.436556 902.684326 4.750731
1.000000 0.148779 0.084525 0.113237 0.252090 0.278521 0.219451 0.176214 0.216170 0.239460 0.261239 0.525568 260.327393 0.054265 0.049816 0.082586 0.366434 0.175408 0.101110 0.121582 0.306202 0.354532 0.728915 1.976023 473.779205 0.067462 0.056964 0.094581 0.363884 0.183797 0.106145 0.136790 0.307260 0.362130 0.684108 1.895253 587.368896 2.357023
1.000000 0.161538 0.083375 0.117979 0.238394 0.289422 0.231249 0.186326 0.211167 0.227931 0.196608 0.321371 180.724304 0.133384 0.078900 0.104330 0.187067 0.246129 0.212979 0.157265 0.174860 0.187944 0.170476 0.241403 47.245739 0.153224 0.088205 0.116938 0.202408 0.268981 0.239172 0.173574 0.186732 0.200519 0.142057 0.185163 883.208069 5.034603
1.000000 0.165547 0.076751 0.112503 0.226070 0.287563 0.234660 0.192540 0.208969 0.223823 0.154495 0.215165 180.882477 0.123424 0.063777 0.089124 0.176303 0.241603 0.210839 0.147004 0.163832 0.177826 0.176271 0.214381 46.418816 0.137628 0.068395 0.098722 0.190932 0.263874 0.232152 0.163463 0.180404 0.194451 0.162239 0.202611 885.303711 8.670753
1.000000 0.193693 0.105269 0.146280 0.322813 0.353399 0.264013 0.226990 0.267630 0.294006 0.252070 0.570837 258.045593 0.078002 0.070547 0.104882 0.325224 0.219684 0.131952 0.140796 0.287894 0.325544 0.615762 1.654361 470.933228 0.073361 0.060310 0.098262 0.335299 0.216154 0.122909 0.142083 0.293566 0.331611 0.633273 1.680978 585.089966 3.952847
